Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#
1,18,LAL,NBA,SF,71,1103,.417,11.9,,.678,.379,.076,.104,.118,.322,,.437,.469,.469,.273,.460,.375,,.408,.765,,.043,17,,.066,.333,,0,0
2,19,LAL,NBA,SF,79,2056,.428,12.2,,.759,.325,.130,.161,.142,.241,,.456,.613,.345,.347,.323,.341,,.443,.827,,.083,69,,.050,.273,,3,0
3,20,LAL,NBA,SG,50,1896,.465,12.3,,.870,.257,.131,.225,.258,.130,,.494,.720,.461,.394,.373,.267,,.388,.704,,.073,53,,.040,.500,,1,0
4,21,LAL,NBA,SG,66,2524,.468,11.9,,.878,.259,.161,.194,.265,.122,,.489,.683,.377,.397,.435,.319,,.429,.652,,.072,82,,.069,.200,,2,0
5,22,LAL,NBA,SG,68,2783,.464,12.8,,.868,.240,.134,.189,.303,.132,,.489,.653,.409,.462,.410,.305,,.384,.770,,.035,49,,.120,.375,,4,0
6,23,LAL,NBA,SG,80,3063,.469,12.0,,.917,.249,.142,.212,.315,.083,,.489,.658,.460,.450,.394,.250,,.363,.576,,.061,88,,.061,.125,,3,1
7,24,LAL,NBA,SG,82,3401,.451,13.9,,.832,.215,.106,.188,.321,.168,,.465,.642,.426,.362,.420,.383,,.364,.613,,.063,116,,.096,.355,,6,0
8,25,LAL,NBA,SG,65,2447,.438,11.9,,.816,.319,.147,.131,.219,.184,,.463,.609,.341,.390,.376,.327,,.420,.775,,.049,51,,.152,.273,,6,0
9,26,LAL,NBA,SG,66,2689,.433,13.9,,.708,.272,.113,.124,.199,.292,,.472,.606,.427,.360,.384,.339,,.247,.664,,.045,53,,.127,.327,,6,0
10,27,LAL,NBA,SG,80,3277,.450,15.1,,.762,.200,.083,.148,.331,.238,,.482,.598,.494,.455,.421,.347,,.377,.706,,.029,59,,.077,.350,,3,0
11,28,LAL,NBA,SG,77,3140,.463,14.5,,.773,.223,.090,.140,.321,.227,,.497,.619,.468,.488,.426,.344,,.351,.642,,.038,59,,.080,.375,,2,0
12,29,LAL,NBA,SG,82,3192,.459,14.4,,.754,.246,.087,.129,.292,.246,,.490,.637,.544,.436,.374,.361,,.333,.680,,.049,80,,.070,.414,,6,0
13,30,LAL,NBA,SG,82,2960,.467,14.0,,.804,.203,.120,.181,.299,.196,,.496,.664,.461,.448,.424,.351,,.326,.644,,.036,59,,.086,.414,,1,0
14,31,LAL,NBA,SG,73,2835,.456,13.5,,.808,.212,.132,.221,.243,.192,,.487,.581,.449,.483,.429,.329,,.368,.636,,.025,36,,.100,.367,,2,0
15,32,LAL,NBA,SG,82,2779,.451,14.5,,.783,.152,.190,.192,.249,.217,,.487,.639,.490,.519,.368,.323,,.325,.652,,.023,38,,.121,.326,,2,0
16,33,LAL,NBA,SG,58,2232,.430,15.0,,.785,.132,.164,.197,.293,.215,,.464,.688,.434,.403,.422,.303,,.409,.644,,.023,28,,.108,.355,,1,0
17,34,LAL,NBA,SG,78,3013,.463,14.4,,.745,.211,.147,.150,.237,.255,,.510,.693,.462,.471,.402,.324,,.269,.621,,.033,51,,.128,.327,,4,0
18,35,LAL,NBA,SG,6,177,.425,14.7,,.781,.164,.123,.247,.247,.219,,.491,.750,.556,.500,.278,.188,,.250,.667,,.014,1,,.125,.000,,0,0
19,36,LAL,NBA,SG,35,1207,.373,15.7,,.742,.136,.129,.185,.292,.258,,.401,.567,.380,.311,.389,.293,,.278,.463,,.010,7,,.103,.474,,1,0
20,37,LAL,NBA,SF,66,1863,.358,17.3,,.580,.093,.102,.173,.213,.420,,.410,.644,.398,.411,.312,.285,,.328,.692,,.004,5,,.126,.322,,1,0
