Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#
1,24,LAL,NBA,C,51,1941,.557,4.4,,.996,.534,.353,.104,.005,.004,,.559,.664,.466,.350,.400,.000,,.623,,,.162,157,,.000,,,2,0
2,25,LAL,NBA,C,60,2175,.584,4.1,,1.000,.514,.391,.091,.005,.000,,.584,.723,.455,.365,.333,,,.707,,,.213,232,,,,,0,0
3,26,LAL,NBA,C,49,1705,.576,4.1,,.999,.441,.508,.050,.000,.001,,.577,.733,.467,.318,,.000,,.633,,,.157,127,,.000,,,1,0
4,27,LAL,NBA,C,79,3163,.574,4.7,,.999,.411,.490,.095,.002,.001,,.575,.758,.456,.396,.500,.000,,.628,,,.147,236,,.000,,,0,0
5,28,LAL,NBA,C,74,2924,.572,4.7,,.999,.429,.452,.113,.005,.001,,.573,.792,.417,.375,.286,.000,,.645,,,.160,219,,.000,,,1,0
6,29,LAL,NBA,C,67,2422,.579,3.8,,.999,.509,.409,.078,.002,.001,,.580,.744,.447,.219,.000,.000,,.612,,,.216,252,,.000,,,0,0
7,30,LAL,NBA,C,67,2535,.574,3.6,,1.000,.537,.393,.068,.002,.000,,.574,.745,.403,.232,.000,,,.655,,,.221,251,,,,,0,0
8,31,LAL,NBA,C,67,2464,.584,3.2,,1.000,.576,.366,.057,.001,.000,,.584,.731,.418,.185,.000,,,.659,,,.236,213,,,,,0,0
9,32,MIA,NBA,C,73,2492,.601,3.3,,1.000,.566,.381,.051,.002,.000,,.601,.748,.439,.196,.000,,,.530,,,.244,255,,,,,0,0
10,33,MIA,NBA,C,59,1806,.600,3.1,,1.000,.559,.394,.048,.000,.000,,.600,.779,.394,.211,,,,.583,,,.269,203,,,,,0,0
11,34,MIA,NBA,C,40,1135,.591,3.6,,1.000,.486,.484,.029,.000,.000,,.591,.764,.440,.214,,,,.495,,,.186,83,,,,,0,0
12,35,TOT,NBA,C,61,1748,.593,3.4,,1.000,.538,.430,.032,.000,.000,,.593,.740,.446,.111,,,,.601,,,.186,99,,,,,0,0
13,35,MIA,NBA,C,33,945,.581,3.4,,1.000,.523,.447,.030,.000,.000,,.581,.727,.449,.000,,,,.565,,,.161,51,,,,,0,0
14,35,PHO,NBA,C,28,803,.611,3.3,,1.000,.559,.406,.035,.000,.000,,.611,.758,.441,.250,,,,.650,,,.223,48,,,,,0,0
15,36,PHO,NBA,C,75,2252,.609,3.4,,.999,.576,.359,.064,.000,.001,,.610,.746,.437,.352,,.000,,.594,,,.233,180,,.000,,,1,0
16,37,CLE,NBA,C,53,1240,.566,3.4,,.998,.583,.359,.050,.006,.002,,.567,.663,.434,.478,.000,.000,,.565,,,.177,76,,.000,,,0,0
17,38,BOS,NBA,C,37,752,.667,1.8,,1.000,.831,.164,.005,.000,.000,,.667,.719,.424,.000,,,,.806,,,.224,43,,,,,0,0
