Season,Team,Lg,Salary
1,Los Angeles Lakers,NBA,$1015000
2,Los Angeles Lakers,NBA,$1167240
3,Los Angeles Lakers,NBA,$1319000
4,Los Angeles Lakers,NBA,$9000000
5,Los Angeles Lakers,NBA,$10130000
6,Los Angeles Lakers,NBA,$11250000
7,Los Angeles Lakers,NBA,$12375000
8,Los Angeles Lakers,NBA,$13500000
9,Los Angeles Lakers,NBA,$14175000
10,Los Angeles Lakers,NBA,$15946875
11,Los Angeles Lakers,NBA,$17718750
12,Los Angeles Lakers,NBA,$19490625
13,Los Angeles Lakers,NBA,$21262500
14,Los Angeles Lakers,NBA,$23034375
15,Los Angeles Lakers,NBA,$24806250
16,Los Angeles Lakers,NBA,$25244493
17,Los Angeles Lakers,NBA,$27849149
18,Los Angeles Lakers,NBA,$30453805
19,Los Angeles Lakers,NBA,$23500000
20,Los Angeles Lakers,NBA,$25000000
