Season,Team,Lg,Salary
1,Orlando Magic,NBA,$3000000
2,Orlando Magic,NBA,$3900000
3,Orlando Magic,NBA,$4800000
4,Orlando Magic,NBA,$5700000
5,Los Angeles Lakers,NBA,$10714000
6,Los Angeles Lakers,NBA,$12857143
7,Los Angeles Lakers,NBA,$15000000
8,Los Angeles Lakers,NBA,$17142858
9,Los Angeles Lakers,NBA,$19285715
10,Los Angeles Lakers,NBA,$21428572
11,Los Angeles Lakers,NBA,$23571429
12,Los Angeles Lakers,NBA,$24749999
13,Miami Heat,NBA,$27696430
14,Miami Heat,NBA,$20000000
15,Miami Heat,NBA,$20000000
16,Phoenix Suns,NBA,$20000000
17,Phoenix Suns,NBA,$21000000
18,Cleveland Cavaliers,NBA,$20000000
19,Boston Celtics,NBA,$1352181
