RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
,Dion Waiters,Mia,G,28.68,3,14.0,29.2,30.8,10.2,1,0.0,9,0.222,17,0.471,0.538,0.53,9.3,3.7,14.6,1.0,12.4,0.0,0.67,1.0,9.3,93.2,98.8
,John Konchar,Mem,G,24.4,19,9.5,19.9,10.3,15.6,2,0.5,27,0.704,10,0.5,0.716,0.713,2.8,2.5,13.7,1.2,16.2,0.37,0.16,0.37,8.6,138.9,109.9
,Josh Hart,Nor,G,25.44,65,27.0,56.3,15.3,11.4,115,0.739,178,0.584,354,0.342,0.537,0.563,10.1,6.6,12.9,1.7,8.4,0.97,0.35,1.15,7.2,110.0,104.4
,Dejounte Murray,San,G,23.9,66,25.6,53.2,20.8,15.4,114,0.798,526,0.481,111,0.369,0.494,0.524,10.9,5.8,12.3,4.1,23.1,1.68,0.26,1.89,10.0,104.7,104.4
,Russell Westbrook,Hou,G,31.75,57,36.0,74.9,34.4,15.0,380,0.763,1068,0.514,213,0.258,0.493,0.536,27.2,7.9,11.5,7.0,35.6,1.65,0.35,4.47,12.7,105.6,102.4
,Paul Watson,Tor,G,25.63,8,8.7,18.2,15.9,11.6,9,0.778,10,0.6,9,0.444,0.632,0.675,3.9,1.9,11.4,0.6,10.4,0.38,0.13,0.38,7.6,127.0,101.4
,Pat Connaughton,Mil,G,27.61,67,18.6,38.7,12.3,13.8,40,0.775,135,0.607,166,0.331,0.547,0.565,5.4,4.2,11.2,1.6,10.9,0.36,0.48,0.76,7.1,113.4,100.5
,Will Barton,Den,G,29.61,58,33.0,68.8,20.1,9.9,135,0.77,450,0.498,288,0.375,0.523,0.549,15.1,6.3,10.7,3.7,16.0,1.07,0.5,1.52,8.6,112.2,107.8
,Patrick Beverley,Lac,G,32.09,51,26.3,54.8,13.3,15.4,47,0.66,135,0.496,206,0.388,0.548,0.56,7.9,5.2,10.3,3.6,18.2,1.06,0.49,1.29,8.0,115.1,97.9
,Terence Davis,Tor,G,23.25,72,16.8,35.0,19.0,14.1,59,0.864,194,0.541,242,0.388,0.564,0.588,7.5,3.3,10.3,1.6,14.2,0.54,0.19,1.06,8.1,110.4,98.1
